ds,yhat,yhat_lower,yhat_upper
2013-01-31,-505342.63728405995,-5028163.969040669,3753694.820965275
2013-02-28,-225707.5792168325,-4818761.074620644,3941137.5250618774
2013-03-31,83888.37802283498,-4250732.381374927,4295134.240730445
2013-04-30,383497.3690786528,-3821395.3408942027,4552746.726382131
2013-05-31,693093.3265374587,-3439146.3738938,4625462.296671631
2013-06-30,992702.3176464002,-3218672.432767447,5005514.402340718
2013-07-31,1302298.2752163415,-2953235.1906340057,5600943.660460918
2013-08-31,1611894.2329635327,-2809561.421355597,5908671.124987803
2013-09-30,1911503.2241486688,-2357847.9032425866,6497881.640604327
2013-10-31,2221099.1815371457,-1933587.7196843906,6475954.077153222
2013-11-30,2520708.172767321,-1635783.3075232941,6454777.802323077
2013-12-31,2830304.1303718346,-1548708.3791877956,6813441.255190296
2014-01-31,3139900.0879763486,-603758.6062086025,7486365.918568538
2014-02-28,3419535.1464578444,-1138124.2228388626,7867665.399917852
2014-03-31,3729131.1040623584,-664337.149336414,8136628.864423445
2014-04-30,4028740.0952925333,-207028.67160461508,8364680.801018766
2014-05-31,4338336.052897047,-346722.00195254234,8677165.227790046
2014-06-30,4637945.044127222,228482.9511151275,8441085.791059239
2014-07-31,4947541.001731736,753217.5007587082,9220168.92352287
2014-08-31,5257136.95933625,798020.8585634032,9332071.52048381
2014-09-30,5556745.950566425,1290130.0134561923,9976260.939682458
2014-10-31,5866341.9081709385,1734245.5924802453,10127707.433777697
2014-11-30,6165950.899401113,1695036.1843467113,10244887.465309389
2014-12-31,6475546.857005627,2431239.6692344635,10665494.140414221
2015-01-31,6785142.814610141,2762612.8547054715,10854915.361718819
